OPEN_DATE;OPEN_TIME;CLOSE_DATE;CLOSE_TIME;OPEN;HIGH;LOW;CLOSE;VOLUME;DELTA;ASK;BID;EXPIRATION
03.01.2012;02:00;04.01.2012;02:00;1.3085;1.3085;1.3020;1.3085;132084;-1714;65185;66899;03-12
03.01.2012;02:00;04.01.2012;02:00;1.3062;1.3062;1.3053;1.3062;668;-72;298;370;03-12
04.01.2012;02:00;05.01.2012;02:00;1.3062;1.3080;1.2904;1.3062;213346;-4188;104579;108767;03-12
04.01.2012;02:00;05.01.2012;02:00;1.2951;1.2951;1.2936;1.2951;1637;-73;782;855;03-12
05.01.2012;02:00;06.01.2012;02:00;1.2951;1.2952;1.2777;1.2951;260523;1471;130997;129526;03-12
05.01.2012;02:00;06.01.2012;02:00;1.2802;1.2802;1.2788;1.2802;1218;-154;532;686;03-12
06.01.2012;02:00;07.01.2012;02:00;1.2802;1.2820;1.2703;1.2802;225083;-11389;106847;118236;03-12
08.01.2012;02:00;09.01.2012;02:00;1.2700;1.2700;1.2673;1.2700;3280;-270;1505;1775;03-12
09.01.2012;02:00;10.01.2012;02:00;1.2700;1.2791;1.2683;1.2700;181402;2240;91821;89581;03-12
09.01.2012;02:00;10.01.2012;02:00;1.2788;1.2788;1.2768;1.2788;1519;139;829;690;03-12
10.01.2012;02:00;11.01.2012;02:00;1.2788;1.2824;1.2747;1.2788;205786;4706;105246;100540;03-12
10.01.2012;02:00;11.01.2012;02:00;1.2779;1.2779;1.2753;1.2779;1744;-484;630;1114;03-12
11.01.2012;02:00;12.01.2012;02:00;1.2779;1.2794;1.2664;1.2779;284849;-4777;140036;144813;03-12
11.01.2012;02:00;12.01.2012;02:00;1.2726;1.2726;1.2710;1.2726;1658;-124;767;891;03-12
12.01.2012;02:00;13.01.2012;02:00;1.2726;1.2848;1.2702;1.2726;312744;746;156745;155999;03-12
12.01.2012;02:00;13.01.2012;02:00;1.2826;1.2826;1.2814;1.2826;1512;-236;638;874;03-12
13.01.2012;02:00;14.01.2012;02:00;1.2826;1.2884;1.2627;1.2826;389842;-1412;194215;195627;03-12
16.01.2012;02:00;17.01.2012;02:00;1.2672;1.2672;1.2651;1.2672;1822;308;1065;757;03-12
17.01.2012;02:00;18.01.2012;02:00;1.2672;1.2820;1.2668;1.2672;278619;4965;141792;136827;03-12
17.01.2012;02:00;18.01.2012;02:00;1.2749;1.2749;1.2740;1.2749;1223;469;846;377;03-12
18.01.2012;02:00;19.01.2012;02:00;1.2749;1.2872;1.2736;1.2749;348919;7517;178218;170701;03-12
18.01.2012;02:00;19.01.2012;02:00;1.2868;1.2868;1.2855;1.2868;1463;237;850;613;03-12
19.01.2012;02:00;20.01.2012;02:00;1.2868;1.2975;1.2841;1.2868;276861;3969;140415;136446;03-12
19.01.2012;02:00;20.01.2012;02:00;1.2973;1.2973;1.2962;1.2973;1580;350;965;615;03-12
20.01.2012;02:00;21.01.2012;02:00;1.2973;1.2989;1.2889;1.2973;230237;4059;117148;113089;03-12
22.01.2012;02:00;23.01.2012;02:00;1.2899;1.2899;1.2880;1.2899;3021;-231;1395;1626;03-12
23.01.2012;02:00;24.01.2012;02:00;1.2899;1.3056;1.2884;1.2899;262919;-2717;130101;132818;03-12
23.01.2012;02:00;24.01.2012;02:00;1.3030;1.3030;1.3015;1.3030;1632;58;845;787;03-12
24.01.2012;02:00;25.01.2012;02:00;1.3030;1.3066;1.2956;1.3030;300622;-2114;149254;151368;03-12
24.01.2012;02:00;25.01.2012;02:00;1.3045;1.3045;1.3032;1.3045;1151;183;667;484;03-12
25.01.2012;02:00;26.01.2012;02:00;1.3045;1.3124;1.2933;1.3045;357679;5295;181487;176192;03-12
25.01.2012;02:00;26.01.2012;02:00;1.3114;1.3114;1.3101;1.3114;1522;124;823;699;03-12
26.01.2012;02:00;27.01.2012;02:00;1.3114;1.3186;1.3093;1.3114;274831;-2215;136308;138523;03-12
26.01.2012;02:00;27.01.2012;02:00;1.3113;1.3113;1.3090;1.3113;1611;-183;714;897;03-12
