OPEN_DATE;OPEN_TIME;CLOSE_DATE;CLOSE_TIME;OPEN;HIGH;LOW;CLOSE;VOLUME;DELTA;ASK;BID;EXPIRATION
01.01.2013;22:00;02.01.2013;02:00;91.82;91.82;91.56;91.70;1023;229;626;397;02-13
02.01.2013;02:00;02.01.2013;06:00;91.70;92.46;91.63;92.44;5915;1005;3460;2455;02-13
02.01.2013;06:00;02.01.2013;10:00;92.45;92.85;92.40;92.82;4174;406;2290;1884;02-13
02.01.2013;10:00;02.01.2013;14:00;92.80;93.07;92.48;92.94;10504;520;5512;4992;02-13
02.01.2013;14:00;02.01.2013;18:00;92.93;93.87;92.90;93.35;68487;-1915;33286;35201;02-13
02.01.2013;18:00;02.01.2013;22:00;93.25;93.37;92.58;92.86;68619;-573;34023;34596;02-13
02.01.2013;22:00;03.01.2013;02:00;92.85;93.01;92.81;92.73;4602;602;2602;2000;02-13
02.01.2013;22:00;03.01.2013;02:00;92.85;93.01;92.73;92.73;673;-119;277;396;02-13
03.01.2013;02:00;03.01.2013;06:00;92.76;92.84;92.49;92.82;2745;-121;1312;1433;02-13
03.01.2013;06:00;03.01.2013;10:00;92.83;92.98;92.74;92.75;2305;-13;1146;1159;02-13
03.01.2013;10:00;03.01.2013;14:00;92.78;92.85;92.50;92.53;8043;141;4092;3951;02-13
03.01.2013;14:00;03.01.2013;18:00;92.56;93.19;92.50;92.85;53363;-2113;25625;27738;02-13
03.01.2013;18:00;03.01.2013;22:00;92.83;93.30;92.71;92.80;56908;178;28543;28365;02-13
03.01.2013;22:00;04.01.2013;02:00;92.83;92.90;92.61;92.77;7587;-53;3767;3820;02-13
03.01.2013;22:00;04.01.2013;02:00;92.83;92.91;92.74;92.77;844;-152;346;498;02-13
04.01.2013;02:00;04.01.2013;06:00;92.76;92.80;92.14;92.29;5796;-998;2399;3397;02-13
04.01.2013;06:00;04.01.2013;10:00;92.28;92.33;92.08;92.08;3761;-949;1406;2355;02-13
04.01.2013;10:00;04.01.2013;14:00;92.08;92.35;91.52;91.70;14760;-1068;6846;7914;02-13
04.01.2013;14:00;04.01.2013;18:00;91.70;93.00;91.70;92.74;59407;1545;30476;28931;02-13
04.01.2013;18:00;04.01.2013;22:00;92.71;93.15;92.22;92.92;71708;2358;37033;34675;02-13
04.01.2013;22:00;05.01.2013;02:00;92.89;93.16;92.89;92.89;5822;772;3297;2525;02-13
06.01.2013;22:00;07.01.2013;02:00;93.25;93.25;92.97;93.05;1003;43;523;480;02-13
07.01.2013;02:00;07.01.2013;06:00;93.06;93.12;92.88;92.93;2922;-110;1406;1516;02-13
07.01.2013;06:00;07.01.2013;10:00;92.93;92.97;92.63;92.66;3536;-484;1526;2010;02-13
07.01.2013;10:00;07.01.2013;14:00;92.65;92.85;92.52;92.61;7667;-143;3762;3905;02-13
07.01.2013;14:00;07.01.2013;18:00;92.61;93.35;92.42;93.18;47927;1733;24830;23097;02-13
07.01.2013;18:00;07.01.2013;22:00;93.19;93.32;92.86;93.19;54766;2328;28547;26219;02-13
07.01.2013;22:00;08.01.2013;02:00;93.18;93.32;93.18;93.28;5739;67;2903;2836;02-13
07.01.2013;22:00;08.01.2013;02:00;93.18;93.35;93.23;93.28;705;111;408;297;02-13
08.01.2013;02:00;08.01.2013;06:00;93.27;93.33;93.14;93.21;2508;-212;1148;1360;02-13
08.01.2013;06:00;08.01.2013;10:00;93.20;93.23;93.00;93.12;2703;-197;1253;1450;02-13
08.01.2013;10:00;08.01.2013;14:00;93.15;93.80;93.01;93.72;14590;1690;8140;6450;02-13
08.01.2013;14:00;08.01.2013;18:00;93.74;93.76;92.67;92.79;66802;-5918;30442;36360;02-13
08.01.2013;18:00;08.01.2013;22:00;92.79;93.29;92.74;93.14;54735;-187;27274;27461;02-13
08.01.2013;22:00;09.01.2013;02:00;93.16;93.31;93.13;93.18;5223;-283;2470;2753;02-13
08.01.2013;22:00;09.01.2013;02:00;93.16;93.22;93.08;93.18;799;-5;397;402;02-13
09.01.2013;02:00;09.01.2013;06:00;93.19;93.29;93.00;93.03;3494;2;1748;1746;02-13
09.01.2013;06:00;09.01.2013;10:00;93.03;93.11;92.85;93.02;3114;-40;1537;1577;02-13
09.01.2013;10:00;09.01.2013;14:00;92.98;93.34;92.88;93.03;9756;212;4984;4772;02-13
09.01.2013;14:00;09.01.2013;18:00;93.05;93.65;92.68;92.95;71521;-2995;34263;37258;02-13
09.01.2013;18:00;09.01.2013;22:00;92.92;93.17;92.80;93.12;59805;-785;29510;30295;02-13
09.01.2013;22:00;10.01.2013;02:00;93.11;93.20;93.08;93.18;3998;94;2046;1952;02-13
09.01.2013;22:00;10.01.2013;02:00;93.11;93.30;93.14;93.18;839;307;573;266;02-13
10.01.2013;02:00;10.01.2013;06:00;93.18;93.53;93.08;93.49;3514;450;1982;1532;02-13
10.01.2013;06:00;10.01.2013;10:00;93.48;93.74;93.41;93.63;4509;793;2651;1858;02-13
10.01.2013;10:00;10.01.2013;14:00;93.65;94.70;93.58;94.38;29385;1399;15392;13993;02-13
10.01.2013;14:00;10.01.2013;18:00;94.38;94.61;93.88;93.93;83674;-1076;41299;42375;02-13
10.01.2013;18:00;10.01.2013;22:00;93.95;94.20;93.61;93.92;71018;-2120;34449;36569;02-13
10.01.2013;22:00;11.01.2013;02:00;93.91;93.95;93.76;94.07;5525;19;2772;2753;02-13
10.01.2013;22:00;11.01.2013;02:00;93.91;94.13;93.83;94.07;1202;70;636;566;02-13
11.01.2013;02:00;11.01.2013;06:00;94.07;94.06;93.81;93.84;2321;-153;1084;1237;02-13
11.01.2013;06:00;11.01.2013;10:00;93.85;93.94;93.66;93.82;3637;-33;1802;1835;02-13
11.01.2013;10:00;11.01.2013;14:00;93.82;93.88;93.10;93.18;15647;-507;7570;8077;02-13
11.01.2013;14:00;11.01.2013;18:00;93.20;93.56;92.65;93.06;84186;-2132;41027;43159;02-13
11.01.2013;18:00;11.01.2013;22:00;93.05;93.67;92.99;93.65;61754;1864;31809;29945;02-13
11.01.2013;22:00;12.01.2013;02:00;93.66;93.77;93.62;93.66;5393;253;2823;2570;02-13
13.01.2013;22:00;14.01.2013;02:00;93.86;93.86;93.65;93.84;989;205;597;392;02-13
14.01.2013;02:00;14.01.2013;06:00;93.84;94.26;93.80;94.13;4098;636;2367;1731;02-13
14.01.2013;06:00;14.01.2013;10:00;94.14;94.29;94.11;94.18;2496;30;1263;1233;02-13
